zip,type,year_built,listPrice,lastSoldPrice,list_to_sold_ratio,sqft,price_per_sqft,stories,beds,baths,baths_full,baths_full_calc,garage,sanitized_text
ABCDE,,NOT_A_YEAR,price,,None,-,,pietra,duzo,kilka,,,auto,"broken row#$% !!! @#$%"
85018,single_family,2025.0,4498946.0,4300076.0,0.9558,5010.0,858.3,1.0,5.0,6.0,5.0,5.0,3.0,"Located in the desirable Arcadia area of Phoenix, this NEW BUILD will offer unparalleled luxury & comfort across its expansive layout. The primary suite is a true retreat, featuring a vaulted wood T+G ceiling, stacked stone fireplace, and direct access to the pool and spa."
85377,single_family,2009.0,1799089.0,1750060.0,0.9727,4270.0,409.85,1.0,5.0,5.0,4.0,4.0,3.0,"The home is hard-wired for streaming, with Ethernet connections to all current TVs, ensuring seamless modern connectivity. Three bedroom suites are located in the main home, each offering comfort and privacy."
85037,single_family,1973.0,335083.0,328911.0,0.9816,1360.0,241.85,1.0,4.0,2.0,1.0,1.0,2.0,Sharp 4 bedroom 1.75 bathroom two car garage large lot all tile floors and bath rooms new Double pane windows for lower energy bills for lower bills.
85037,single_family,1973.0,429828.0,434291.0,1.0104,1510.0,287.61,1.0,4.0,2.0,2.0,2.0,2.0,"The remodeled kitchen features warm wood cabinetry, quartz countertops, and brand-new stainless steel appliances to be installed this weekend. Designer bathrooms include a sleek walk-in shower with custom tile, matte black fixtures, and a modern tub surround with statement niche."
85037,single_family,1973.0,299927.0,294935.0,0.9834,1240.0,237.85,1.0,3.0,2.0,2.0,2.0,2.0,"Phoenix, Arizona, home has 3 bedrooms, 2 bathrooms, and a 2-car garage. The spacious great room creates an inviting atmosphere and opens to the backyard."
85037,single_family,1972.0,399093.0,369904.0,0.9269,1710.0,216.32,1.0,4.0,2.0,2.0,2.0,2.0,"New paint and dual panels, new roof in 2021 and HVAC System in 2019. The backyard offers a covered patio with a gazebo, a refreshing diving pool."
85037,single_family,1975.0,439054.0,429945.0,0.9793,1600.0,268.72,1.0,3.0,2.0,2.0,2.0,2.0,"The inviting interior features great natural light, neutral paint, recessed lighting, and wood-look tile flooring through out. The primary bedroom is spacious and has newer slider to patio, a custom walk-in closet, & a large ensuite bathroom."
85037,single_family,1971.0,409815.0,409804.0,1.0,1650.0,248.37,1.0,4.0,2.0,2.0,2.0,2.0,"This is a beautiful remodeled home that sits on a corner lot. Features 4 bedrooms and 2 fully updated baths, new Laminate flooring throughout the home."
85706,single_family,2006.0,289940.0,289911.0,0.9999,1450.0,199.94,1.0,3.0,2.0,2.0,2.0,2.0,"South Tucson home features 3 bedrooms, 2 bathrooms, and a 4th bedroom. Large vaulted ceilings create an open, spacious feel. Framed accents add character throughout."
85037,single_family,1972.0,378946.0,372439.0,0.9828,2020.0,184.38,1.0,4.0,2.0,2.0,2.0,2.0,"This move-in-ready property features brand-new waterproof vinyl plank flooring, fresh interior and exterior paint, and New energy-efficient dual pane windows around the house. All rooms are enhanced with new ceiling fans and modern lighting."
86303,single_family,2020.0,1899824.0,1849917.0,0.9737,2600.0,711.51,,4.0,3.0,3.0,3.0,6.0,Private Custom Luxury Home 6-Car Garage (1600+ sqft) is located on a private 1.11-acre homesite surrounded by mature pines and native landscaping.
85544,single_family,1981.0,480099.0,489935.0,1.0205,1120.0,437.44,1.0,2.0,1.0,1.0,1.0,2.0,"The one-story well-maintained home is nestled away on a quiet road in charming Pine. The two bed, one bath home features a simple open floor plan, large pantry and has been freshly painted inside to highlight the solid red-oak hardwood floors."
85255,single_family,1988.0,7499913.0,7500090.0,1.0,6840.0,1096.5,2.0,4.0,7.0,6.0,6.0,4.0,"Desert Highlands Golf Club is located on a 1-acre cul-de-sac golf course lot in North Scottsdale, Arizona. The 4 bedrooms, including a separate guest casita, plus a dedicated office/flex room and upstairs media room with stunning views."
85248,single_family,1997.0,674812.0,650058.0,0.9633,1960.0,331.66,1.0,3.0,2.0,2.0,2.0,3.0,"The Ocotillo community of Chandler, Arizona, is located in the prestigious Ocotillian community. The 3-bedroom plus office/den, 2-bathroom single level home offers an exceptional blend of luxury, comfort, and modern design."
85138,single_family,2008.0,550086.0,549938.0,0.9997,4590.0,119.81,2.0,5.0,4.0,3.0,3.0,3.0,"The three car garage provides space for your vehicles, toys/storage, and has a whole house water softener and on demand hot water heater. Homestead offers numerous playgrounds, sport courts & a lake."
